use_sim_time,sim_length,graph,algo_name,init_bots,init_locations,random_string,avg_idle,done,max_idle,priority_nodes,time_periods,coefficients,depth,overshoot_avg,overshoot_max,avg_idle_pn,max_idle_pn
True,20000,grid_5_5,tpbp_final,3,20 16 3,tpbp_final_grid_5_5_20,191.473138905592,False,4329,0 16 3 20 15,80.0 80.0 80.0 80.0 80.0,1 10 0 0,,0.54712,0.59415,102.433523752255,380
True,20000,grid_5_5,tpbp_final,4,14 3 8 23,tpbp_final_grid_5_5_12,200.730261486926,False,1732,14 8 3 23 10 9,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,,0.551975,0.71735,71.1606253020682,954
True,20000,grid_5_5,tpbp_final,1,24,tpbp_final_grid_5_5_2,299.402960148007,False,2597,7 4 11 24 18,60.0 60.0 60.0 60.0 60.0,1 10 0 0,,0.77791,0.81085,146.163538176909,451
True,20000,grid_5_5,tpbp_final,2,5 22,tpbp_final_grid_5_5_28,457.753912608739,False,10166,5 22 3 21,60.0 60.0 60.0 60.0,1 10 0 0,,0.7297875,0.7498,134.094315568443,472
True,20000,grid_5_5,tpbp_final,3,16 19 0,tpbp_final_grid_5_5_32,223.030578942106,False,2268,16 19 0 12 8,40.0 40.0 40.0 40.0 40.0,1 10 0 0,,0.70032,0.7336,99.0866513348665,405
True,20000,grid_5_5,tpbp_final,2,24 16,tpbp_final_grid_5_5_29,271.217876212379,False,2247,16 5 24 8 21,40.0 40.0 40.0 40.0 40.0,1 10 0 0,,0.75494,0.78795,110.585641435856,488
True,20000,grid_5_5,tpbp_final,3,20 1 9,tpbp_final_grid_5_5_31,163.954156292185,False,1000,20 19 1 9,60.0 60.0 60.0 60.0,1 10 0 0,,0.6453125,0.6649,107.055772211389,371
True,20000,grid_5_5,tpbp_final,1,8,tpbp_final_grid_5_5_3,407.15703770377,False,3357,8 15 18 0 9 6,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,,0.835658333333333,0.85025,133.981606493983,383
True,20000,grid_5_5,tpbp_final,1,18,tpbp_final_grid_5_5_25,309.7871987997,False,2689,7 2 18 11,60.0 60.0 60.0 60.0,1 10 0 0,,0.7265625,0.7527,119.090997749437,359
True,20000,grid_5_5,tpbp_final,2,7 21,tpbp_final_grid_5_5_18,1460.54132093395,False,20000,21 7 14 11 2 9,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,,0.752041666666667,0.80815,111.842416212523,379
True,20000,grid_5_5,tpbp_final,3,12 18 4,tpbp_final_grid_5_5_21,188.409582874862,False,1975,21 18 20 12 4 24,80.0 80.0 80.0 80.0 80.0 80.0,1 10 0 0,,0.63535,0.6828,136.590893934847,502
True,20000,grid_5_5,tpbp_final,1,24,tpbp_final_grid_5_5_13,294.248341668334,False,2533,8 22 15 24,60.0 60.0 60.0 60.0,1 10 0 0,,0.763575,0.78995,141.326277755551,459
True,20000,grid_5_5,tpbp_final,1,15,tpbp_final_grid_5_5_14,330.553185659283,False,3056,15 14 13 4 19,60.0 60.0 60.0 60.0 60.0,1 10 0 0,,0.73033,0.79715,129.830661533077,463
True,20000,grid_5_5,tpbp_final,3,2 8 21,tpbp_final_grid_5_5_19,161.773086691331,False,1000,8 2 13 21,60.0 60.0 60.0 60.0,1 10 0 0,,0.5953875,0.6287,91.8219178082192,341
True,20000,grid_5_5,tpbp_final,4,8 0 23 17,tpbp_final_grid_5_5_11,162.075294470553,False,1548,21 0 17 23 8,40.0 40.0 40.0 40.0 40.0,1 10 0 0,,0.61487,0.6859,84.8665333466654,411
True,20000,grid_5_5,tpbp_final,3,19 13 23,tpbp_final_grid_5_5_9,176.357727204522,False,1234,21 13 10 7 23 19,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,,0.623175,0.6566,97.6953600426816,340
